,basetext,1,13,18,22,33,35,69,69C,109,109C,118,124,138,157,168,173,209,213,226,249,265,295,333,357,377,382,397,430,543,544,565,579,597,732,788,792,799,807,821,826,828,841,869,884,892,983,992,994,1009,1010,1014,1029,1071,1079,1093,1128,1192,1210,1219,1230,1241,1242,1253,1278,1293,1319,1320,1321,1344,1424,1424C,1463,1546,1561,1571S,1582,1582C,1654,1689,1788,1797,1797C,2106,2192,2193,2193C,2223,226C,2372,2411,2575,2585,2615,2680,2713,2718,2766,2768,2786,2790,2886,2561
209,70,95,80,80,80,80,80,75,80,70,65,75,80,85,75,75,60,100,75,80,80,75,75,80,85,70,80,65,80,80,80,85,75,70,75,75,50,75,70,70,80,80,75,75,85,65,70,65,75,75,70,70,70,65,65,65,65,70,70,65,65,75,70,65,70,70,65,65,70,65,75,70,70,65,70,65,75,85,75,70,65,70,70,75,60,70,80,70,80,70,65,75,65,60,70,80,65,70,75,60,65,85,70
213,80,80,85,90,85,85,90,75,90,75,75,60,85,90,85,85,60,75,100,95,90,85,80,90,90,80,85,70,80,90,80,85,75,80,75,75,60,100,80,90,90,85,85,85,85,80,80,75,80,75,80,80,75,70,75,75,75,80,80,75,90,80,75,85,80,80,75,75,80,75,90,80,75,75,80,75,80,70,80,75,70,75,75,80,65,80,70,75,90,70,75,80,70,65,80,70,75,70,80,85,75,70,75
226,85,85,90,95,90,90,95,80,95,80,80,65,90,95,90,90,65,80,95,100,95,90,85,95,95,85,90,75,85,95,85,90,80,85,80,80,65,95,85,90,95,90,90,90,90,85,85,80,85,80,85,85,80,75,80,80,80,85,85,80,85,85,80,80,85,85,80,80,85,80,95,85,80,80,85,80,85,75,85,80,75,80,80,85,70,85,75,80,95,75,80,85,75,70,85,75,80,75,85,80,80,75,80
249,85,85,95,100,95,90,100,85,100,85,85,65,90,95,95,90,65,80,90,95,100,90,90,100,95,85,90,75,85,100,85,90,80,85,80,85,65,90,85,85,100,95,90,95,90,80,90,85,85,80,85,90,80,75,80,85,85,90,90,80,80,85,80,75,85,85,85,85,85,80,90,90,80,80,90,85,85,75,85,85,75,80,85,85,75,85,80,80,100,75,80,85,80,75,85,75,85,75,85,75,85,75,80
265,90,80,85,90,85,85,90,80,90,75,75,60,85,90,85,90,60,75,85,90,90,100,80,90,90,80,85,75,80,90,90,85,75,85,75,80,65,85,80,80,90,85,85,85,85,75,80,85,80,75,85,80,75,70,90,75,75,80,80,90,75,80,75,70,85,85,85,85,85,80,85,80,85,90,80,85,80,70,80,75,70,75,75,80,70,85,70,75,90,75,90,80,70,70,85,70,75,80,80,70,75,70,75
295,75,80,85,90,85,80,90,80,90,75,75,60,80,85,85,80,60,75,80,85,90,80,100,90,85,75,80,65,75,90,80,80,70,75,70,80,55,80,75,75,90,85,80,85,85,70,80,75,75,70,75,80,70,65,70,75,75,80,80,70,70,75,70,70,75,75,75,75,75,70,80,80,70,70,80,75,75,70,75,75,65,70,75,75,70,75,75,70,90,65,70,75,70,65,75,70,75,65,75,65,75,70,70
333,85,85,95,100,95,90,100,85,100,85,85,65,90,95,95,90,65,80,90,95,100,90,90,100,95,85,90,75,85,100,85,90,80,85,80,85,65,90,85,85,100,95,90,95,90,80,90,85,85,80,85,90,80,75,80,85,85,90,90,80,80,85,80,75,85,85,85,85,85,80,90,90,80,80,90,85,85,75,85,85,75,80,85,85,75,85,80,80,100,75,80,85,80,75,85,75,85,75,85,75,85,75,80
357,85,90,90,95,90,95,95,80,95,80,80,65,95,100,90,90,70,85,90,95,95,90,85,95,100,85,95,80,90,95,90,95,85,85,85,80,65,90,85,85,95,90,90,90,95,80,85,80,90,85,85,85,85,80,80,80,80,85,85,80,80,90,85,75,85,85,80,80,85,80,90,85,85,80,85,80,90,80,90,80,80,80,80,90,70,85,75,85,95,75,80,90,75,70,85,80,80,80,90,75,80,80,85
377,75,75,80,85,80,80,85,70,85,90,90,55,85,85,85,80,75,70,80,85,85,80,75,85,85,100,80,85,75,85,75,80,70,95,85,70,75,80,100,80,85,80,80,85,80,75,80,75,80,75,80,80,80,85,75,75,80,80,80,75,75,95,70,70,95,80,75,75,80,75,85,80,75,90,80,75,80,70,90,75,70,75,75,80,65,80,70,90,85,85,90,80,75,65,95,70,75,70,80,75,75,70,70
382,80,85,85,90,85,90,90,75,90,75,85,60,90,95,85,95,75,80,85,90,90,85,80,90,95,80,100,75,85,90,85,90,80,80,80,75,60,85,80,80,90,85,95,85,90,75,80,75,85,80,80,80,80,85,75,85,75,80,80,75,75,85,90,70,80,80,75,75,80,85,85,80,80,75,80,75,85,75,85,75,85,75,75,85,65,80,70,80,90,70,75,85,70,65,80,75,85,75,85,70,75,75,90
